slug	strain	chrom	start	end	te_label	te_strand
CAST_LINE_L1_chr13_52p078	CAST_EiJ	chr13	52078375	52083375	LINE/L1	-
CAST_LINE_L1_chr15_56p004	CAST_EiJ	chr15	56004875	56009875	LINE/L1	+
CAST_LINE_L1_chr2_146p949	CAST_EiJ	chr2	146949625	146954625	LINE/L1	-
CAST_LTR_ERVK_chr17_18p762	CAST_EiJ	chr17	18762875	18767875	LTR/ERVK	-
CAST_LTR_ERVK_chr7_3p429	CAST_EiJ	chr7	3429375	3434375	LTR/ERVK	+
CAST_LTR_ERVL-MaLR_chr17_2p740	CAST_EiJ	chr17	2740125	2745125	LTR/ERVL-MaLR	-
CAST_LTR_ERVL_chr10_82p661	CAST_EiJ	chr10	82661375	82666375	LTR/ERVL	+
IAP	SPRET_EiJ	chr7	3079492	3083591	IAP	+
L1	SPRET_EiJ	chr2	150450743	150521192	LINE/L1	-
LINE_L1_chr15_81p677	SPRET_EiJ	chr15	81677875	81682875	LINE/L1	+
LINE_L1_chr6_79p822	SPRET_EiJ	chr6	79822625	79827625	LINE/L1	+
LINE_L1_chr9_52p165	SPRET_EiJ	chr9	52165625	52170625	LINE/L1	-
LINE_L1_chr9_65p783	SPRET_EiJ	chr9	65783125	65788125	LINE/L1	-
LTR_ERV1_chr2_91p104	SPRET_EiJ	chr2	91104875	91109875	LTR/ERV1	+
LTR_ERVK_chr10_81p286	SPRET_EiJ	chr10	81286875	81291875	LTR/ERVK	-
LTR_ERVK_chr9_65p808	SPRET_EiJ	chr9	65808375	65813375	LTR/ERVK	-
LTR_ERVL-MaLR_chr15_57p428	SPRET_EiJ	chr15	57428375	57433375	LTR/ERVL-MaLR	-
LTR_ERVL-MaLR_chr17_23p816	SPRET_EiJ	chr17	23816125	23821125	LTR/ERVL-MaLR	-
LTR_ERVL-MaLR_chr18_64p916	SPRET_EiJ	chr18	64916875	64921875	LTR/ERVL-MaLR	+
